URL,Price,Rooms,Baths,Area,Lat,Lon,Floor,Finishing,Governate,Neighbourhood
https://aqarmap.com.eg/ar/listing/6104246-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3212000,1,1,73,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6104952-for-sale-red-sea-hurghada-resorts-florenza-khamsin-eitc/,5829595,2,1,116,27.1994,33.840391,1,سوبر لوكس,البحر الأحمر,  منتجع فلورنزا خمسين 
https://aqarmap.com.eg/ar/listing/6105072-for-sale-red-sea-hurghada-resorts/,5067314,2,1,101,27.1994,33.840391,4,سوبر لوكس,البحر الأحمر,  منتجع سكانديك 
https://aqarmap.com.eg/ar/listing/6089705-for-sale-red-sea-hy-lkwthr/,3645000,2,1,90,27.22871,33.834897,3,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6080686-for-sale-red-sea-hy-lkwthr/,2695000,1,1,55,27.22871,33.834897,4,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6089764-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3182000,1,1,74,27.218941,33.834897,2,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6089298-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3139000,1,1,73,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6088958-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,4576000,2,1,104,27.218941,33.834897,3,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6374294-for-sale-red-sea-hy-lkwthr/,2650000,1,1,52,27.22871,33.834897,1,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6082492-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3182000,1,1,74,27.218941,33.834897,1,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
https://aqarmap.com.eg/ar/listing/6110834-for-sale-cairo-el-sheikh-zayed-city-compounds-zyd-wr-llttwyr-park-towers-zed-el-sheikh-zayed-compound/,12000000,3,3,161,30.053331,31.000425,8,اكسترا سوبر لوكس,القاهرة الكبرى,  بارك تاورز 
https://aqarmap.com.eg/ar/listing/6178103-for-sale-cairo-new-cairo-compounds-dh-mdyn-ryzydns-yjy-jb/,8913000,2,2,127,30.072348,31.412412,6,بدون تشطيب,القاهرة الكبرى,  ذا مديان ريزيدنس 
https://aqarmap.com.eg/ar/listing/6230334-for-sale-red-sea-hy-lkwthr/,2247000,1,1,42,27.22871,33.834897,2,سوبر لوكس,البحر الأحمر,  حي الكوثر
https://aqarmap.com.eg/ar/listing/6089816-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,3827000,2,1,86,27.218941,33.834897,2,سوبر لوكس,البحر الأحمر,  منتجع ايكونك 
