URL,Price,Address,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6119262-for-sale-north-coast-new-alamein-mntj-t-l-lmyn-ljdyd-kmbwnd-mzryn/,"9,800,000
    جنيه",الساحل الشمالي  /  منتجع مزارين - سيتي ايدج,3,3,231,30.839431,28.956968,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6068825-for-sale-cairo-el-sheikh-zayed-city-compounds-el-khamayel/,"7,500,000
    جنيه",القاهرة الكبرى  /  الخمائل,3,3,170,30.034311,31.027891,الارضي,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6294693-for-sale-red-sea-kwrnysh-lgrdq/,"3,607,500
    جنيه",البحر الأحمر  /  كورنيش الغردقة,3,1,111,27.1994,33.840391,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6230524-for-sale-cairo-new-cairo-compounds-el-patio-oro/,"14,760,000
    جنيه",القاهرة الكبرى  /  كمبوند الباتيو أورو - لافيستا,3,3,164,30.034311,31.588193,3,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6191231-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-kmbwnd-mwnty-nbwlywny-rybwrtj-l-qry/,"7,500,000
    جنيه",القاهرة الكبرى  /  كمبوند مونتي نابوليوني - ريبورتاج,3,2,137,30.053331,31.632139,3,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6152905-for-sale-cairo-new-cairo-compounds-regents-square-compound-al-dawlia/,"22,132,480
    جنيه",كمبوند ريجينتس سكوير - الدولية,3,3,199,30.034311,31.549741,الارضي,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6074670-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-bloomfields/,"12,978,000
    جنيه",القاهرة الكبرى  /  كمبوند بلوم فيلدز - تطوير مصر,2,2,153,30.072348,31.643125,2,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6141417-for-sale-cairo-el-sheikh-zayed-city-compounds-opera-city/,"5,500,000
    جنيه",القاهرة الكبرى  /  أوبرا سيتي - بنك التعمير و الاسكان,3,2,157,30.043821,30.989438,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6459432-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,418,800
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,74,27.209171,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6088569-for-sale-cairo-el-shorouk-compounds-al-burouj-compound-imkan/,"17,000,000
    جنيه",القاهرة الكبرى  /  كمبوند البروج - إمكان,3,2,180,30.195866,31.659604,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6289918-for-sale-red-sea-hy-lkwthr/,"3,200,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,64,27.22871,33.834897,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6289700-for-sale-red-sea-hurghada-resorts-one-7-resort-ronberg/,"5,340,000
    جنيه",البحر الأحمر  /  منتجع وان سيفن - كرونبرج,1,1,80,27.111423,33.818418,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6177399-for-sale-red-sea-hy-lkwthr/,"5,290,000
    جنيه",البحر الأحمر  /  حي الكوثر,2,1,108,27.22871,33.834897,3,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6294909-for-sale-red-sea-kwrnysh-lgrdq/,"4,508,500
    جنيه",البحر الأحمر  /  كورنيش الغردقة,3,1,127,27.1994,33.840391,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6227627-for-sale-red-sea-hy-lkwthr/,"3,780,000
    جنيه",البحر الأحمر  /  حي الكوثر,1,1,63,27.22871,33.834897,1,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6095094-for-sale-red-sea-hurghada-resorts-iconic-resort-emperor/,"3,300,000
    جنيه",البحر الأحمر  /  منتجع ايكونك - امبرور,1,1,66,27.218941,33.834897,1,سوبر لوكس
