URL,Price,Address,Area,Rooms,Baths,Lat,Lon
https://aqarmap.com.eg/ar/listing/6587867-for-sale-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,"10,500,000 جنيه",القاهرة الكبرى  /  كمبوند فيلدج ويست - درة,149 متر²,N/A,N/A,30.045321,31.019897
https://aqarmap.com.eg/ar/listing/6587839-for-sale-cairo-new-cairo-compounds-sarai-esse-residence-sarai/,"4,470,000 جنيه",القاهرة الكبرى  /  ايس ريزيدنس - سراي,132 متر²,3,2,30.102366,31.695557
https://aqarmap.com.eg/ar/listing/6587826-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-sun-capital/,"7,196,864 جنيه",القاهرة الكبرى  /  كمبوند صن كابيتال - ارابيا,155 متر²,3,3,29.940655,31.085815
https://aqarmap.com.eg/ar/listing/6587710-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/,"3,990,000 جنيه",القاهرة الكبرى  /  طريق احمد زويل,133 متر²,3,3,29.950175,31.052856
https://aqarmap.com.eg/ar/listing/6587767-for-sale-cairo-new-cairo-compounds-hyde-park-centre-ville-hyde-park/,"15,600,000 جنيه",القاهرة الكبرى  /  سنتر فيل - كمبوند هايد بارك,264 متر²,4,4,29.978728,31.536255
https://aqarmap.com.eg/ar/listing/6583292-for-sale-cairo-6th-of-october-compounds-promenade-residence/,"8,100,000 جنيه",القاهرة الكبرى  /  بروميناد ريزيدنس - وادي دجلة,265 متر²,4,3,30.035811,31.036377
https://aqarmap.com.eg/ar/listing/6587890-for-sale-cairo-6th-of-october-compounds-october-plaza/,"8,300,000 جنيه",القاهرة الكبرى  /  كمبوند أكتوبر بلازا - سوديك,163 متر²,3,3,29.99776,30.915527
https://aqarmap.com.eg/ar/listing/6587834-for-sale-cairo-new-cairo-compounds-sarai-elan-sarai-compound/,"7,981,000 جنيه",القاهرة الكبرى  /  ايلان - كمبوند سراي,126 متر²,3,2,30.102366,31.695557
https://aqarmap.com.eg/ar/listing/6587790-for-sale-cairo-el-sheikh-zayed-city-compounds-kmbwnd-fyldj-wyst-dr-llttwyr/,"10,065,000 جنيه",القاهرة الكبرى  /  كمبوند فيلدج ويست - درة,164 متر²,3,2,30.045321,31.019897
https://aqarmap.com.eg/ar/listing/6587728-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-address-home-compound-arkan/,"4,898,000 جنيه",القاهرة الكبرى  /  كمبوند ادريس هوم - أركان,158 متر²,3,3,29.950175,31.052856
https://aqarmap.com.eg/ar/listing/6587767-for-sale-cairo-new-cairo-compounds-hyde-park-centre-ville-hyde-park/,"15,600,000 جنيه",القاهرة الكبرى  /  سنتر فيل - كمبوند هايد بارك,264 متر²,4,4,29.978728,31.536255
https://aqarmap.com.eg/ar/listing/6587728-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-address-home-compound-arkan/,"4,898,000 جنيه",القاهرة الكبرى  /  كمبوند ادريس هوم - أركان,158 متر²,3,3,29.950175,31.052856
https://aqarmap.com.eg/ar/listing/6587706-for-sale-cairo-new-cairo-compounds-lakeview-residence/,"13,500,000 جنيه",القاهرة الكبرى  /  ليك فيو ريزيدنس - الحاذق,125 متر²,2,2,30.026299,31.530762
https://aqarmap.com.eg/ar/listing/6587714-for-sale-cairo-heliopolis-sheraton-saqr-korayesh-st/,"3,250,000 جنيه",القاهرة الكبرى  /  شارع صقر قريش,115 متر²,2,1,30.11187,31.37146
https://aqarmap.com.eg/ar/listing/6587685-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-1st-seventh-neighborhood/,"4,800,000 جنيه",القاهرة الكبرى  /  المجاورة السابعة,200 متر²,3,2,29.969212,30.953979
https://aqarmap.com.eg/ar/listing/6587676-for-sale-cairo-new-cairo-dar-misr-dar-misr-el-andalous/,"5,100,000 جنيه",القاهرة الكبرى  /  دار مصر الأندلس,195 متر²,3,2,29.978728,31.514282
https://aqarmap.com.eg/ar/listing/6587454-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-west-view-residence-hdp/,"6,140,520 جنيه",القاهرة الكبرى  /  ويست فيو ريزيدنس - اتش دي بي,100 متر²,2,1,30.06434,30.893555
https://aqarmap.com.eg/ar/listing/6601044-for-sale-cairo-al-oubour-lhy-ltrfyhy/,"2,700,000 جنيه",القاهرة الكبرى  /  الحي الترفيهي,142 متر²,3,2,30.244832,31.442871
https://aqarmap.com.eg/ar/listing/6601130-for-sale-cairo-6th-of-october-compounds/,"3,800,000 جنيه",القاهرة الكبرى  /  كمبوند في ٦ اكتوبر,85 متر²,2,2,29.969212,31.014404
https://aqarmap.com.eg/ar/listing/6601012-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood/,"4,000,000 جنيه",القاهرة الكبرى  /  الحي الأول,230 متر²,4,2,30.083355,31.552734
https://aqarmap.com.eg/ar/listing/6587528-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-bloomfields/,"6,114,000 جنيه",القاهرة الكبرى  /  كمبوند بلوم فيلدز - تطوير مصر,126 متر²,2,2,30.073848,31.640625
https://aqarmap.com.eg/ar/listing/6587498-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/,"4,123,000 جنيه",القاهرة الكبرى  /  طريق احمد زويل,133 متر²,3,3,29.950175,31.052856
https://aqarmap.com.eg/ar/listing/6587545-for-sale-cairo-el-zaytun-lzytwn-lgrby-el-gabal-canal-st/,"2,000,000 جنيه",القاهرة الكبرى  /  شارع ترعة الجبل,145 متر²,2,1,30.102366,31.300049
https://aqarmap.com.eg/ar/listing/6587222-for-sale-cairo-new-cairo-el-narges-el-narges-5-moushir-ahmed-ismail-st/,"11,500,000 جنيه",القاهرة الكبرى  /  شارع المشير أحمد اسماعيل,420 متر²,5,3,30.016787,31.453857
https://aqarmap.com.eg/ar/listing/6587617-for-sale-cairo-6th-of-october-hadaeq-october-tryq-hmd-zwyl/,"4,123,000 جنيه",القاهرة الكبرى  /  طريق احمد زويل,133 متر²,3,3,29.950175,31.052856
https://aqarmap.com.eg/ar/listing/6587582-for-sale-cairo-new-cairo-lrhb-city-phase-5-talaat-mostafa-st/,"7,450,000 جنيه",القاهرة الكبرى  /  شارع طلعت مصطفي,122 متر²,3,2,30.073848,31.481323
https://aqarmap.com.eg/ar/listing/6586079-for-sale-cairo-6th-of-october-compounds-new-giza-wyst-rydj-ryzydns-nyw-jyz-llttwyr-l-qry/,"21,000,000 جنيه",القاهرة الكبرى  /  ويست ريدج - كمبوند نيو جيزة,215 متر²,4,3,29.99776,31.063843
https://aqarmap.com.eg/ar/listing/6601114-for-sale-cairo-new-cairo-bait-el-watan-second-neighborhood/,"4,500,000 جنيه",القاهرة الكبرى  /  الحي الثاني,170 متر²,3,3,30.073848,31.541748
https://aqarmap.com.eg/ar/listing/6587572-for-sale-cairo-6th-of-october-hadaeq-october-golden-square/,"2,829,000 جنيه",القاهرة الكبرى  /  المربع الذهبي,123 متر²,3,3,29.921613,31.069336
https://aqarmap.com.eg/ar/listing/6576664-for-sale-cairo-el-sheikh-zayed-city-el-hay-elthamen-area-1/,"7,500,000 جنيه",القاهرة الكبرى  /  المجاورة الاولى,250 متر²,3,3,30.035811,30.970459
https://aqarmap.com.eg/ar/listing/6587477-for-sale-cairo-new-cairo-dar-misr-dar-misr-el-andalous/,"3,500,000 جنيه",القاهرة الكبرى  /  دار مصر الأندلس,130 متر²,3,2,29.978728,31.514282
https://aqarmap.com.eg/ar/listing/6601540-for-sale-cairo-el-sheikh-zayed-city-el-hay-elsades-ashaer/,"4,100,000 جنيه",القاهرة الكبرى  /  الحي السادس عشر,190 متر²,3,2,30.06434,30.953979
https://aqarmap.com.eg/ar/listing/6605498-for-sale-cairo-6th-of-october-6th-tourist-area/,"5,600,000 جنيه",القاهرة الكبرى  /  المنطقة السياحية السادسة ,225 متر²,N/A,N/A,30.007274,30.975952
https://aqarmap.com.eg/ar/listing/6600992-for-sale-cairo-al-oubour-lhy-ltrfyhy/,"3,000,000 جنيه",القاهرة الكبرى  /  الحي الترفيهي,142 متر²,3,2,30.244832,31.442871
https://aqarmap.com.eg/ar/listing/6586831-for-sale-cairo-faisal-el-taweaan-al-omaraa-st/,"1,250,000 جنيه",القاهرة الكبرى  /  شارع الامراء,155 متر²,3,3,30.016787,31.184692
https://aqarmap.com.eg/ar/listing/6587409-for-sale-cairo-hadayek-el-ahram-lmntq-t/,"1,580,000 جنيه",القاهرة الكبرى  /  المنطقة ط,100 متر²,2,1,29.969212,31.091309
https://aqarmap.com.eg/ar/listing/6585631-for-sale-cairo-new-cairo-compounds-city-gate-sapphire-city-gate/,"11,500,000 جنيه",القاهرة الكبرى  /  سابير - كمبوند سيتي جيت,107 متر²,2,2,30.026299,31.563721
https://aqarmap.com.eg/ar/listing/6586713-for-sale-cairo-nasr-city-compounds-degla-towers/,"3,300,000 جنيه",القاهرة الكبرى  /  دجلة تاورز - مجموعة المرشدي,115 متر²,2,2,30.035811,31.360474
