URL,Price,State,Rooms,Baths,Area,Lat,Lon,Floor,Finishing
https://aqarmap.com.eg/ar/listing/6612388-for-sale-cairo-new-cairo-compounds-regents-square-compound-al-dawlia/,"19,950,000 جنيه",القاهرة الكبرى / كمبوند ريجينتس سكوير - الدولية,3,3,198,30.034311,31.555234,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6587860-for-sale-cairo-heliopolis-sheraton-misr-lel-taamer-buildings/,"4,250,000 جنيه",القاهرة الكبرى / عمارات مصر للتعمير,3,2,150,30.11037,31.379453,7,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6612880-for-sale-cairo-el-maadi-compounds-kmbwnd-wn-qtmyh-m-mr-lmrshdy/,"3,000,000 جنيه",,1,1,70,29.986745,31.351987,6,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6623047-for-sale-cairo-new-cairo-compounds-trio-gardens/,"13,000,000 جنيه",القاهرة الكبرى / كمبوند تريو جاردنز - ام سكويرد,3,4,245,30.06284,31.59918,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6622841-for-sale-cairo-new-cairo-madinaty-first-zone-buildings-17th-st./,"9,300,000 جنيه",القاهرة الكبرى / شارع 17,3,3,211,30.100866,31.637632,5,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6543102-for-sale-cairo-6th-of-october-compounds-kmbwnd-b-twn-ryl-styt-llttwyr/,"3,250,000 جنيه",القاهرة الكبرى / كمبوند أب تاون أكتوبر,3,3,170,29.910591,30.808164,1,بدون تشطيب
https://aqarmap.com.eg/ar/listing/6620011-for-sale-damietta-mdyn-dmyt-ljdyd-lhy-lthlth-mjwr-14/,"6,000,000 جنيه",,4,3,270,31.441224,31.665098,5,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6619980-for-sale-cairo-new-cairo-el-narges-el-narges-omarat-mohamed-sabry-abu-alam-st/,"5,750,000 جنيه",القاهرة الكبرى / شارع محمد صبري ابو علم,3,3,255,30.005774,31.456357,5,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6592648-for-sale-cairo-new-cairo-madinaty-third-zone-buildings-madinaty-b-3/,"8,500,000 جنيه",,3,3,175,30.091361,31.637632,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6587546-for-sale-cairo-new-cairo-madinaty-fourteenth-zone-buildings-talaat-mustafa-road/,"6,576,000 جنيه",القاهرة الكبرى / طريق طلعت مصطفي,3,2,140,30.091361,31.681577,2,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6593577-for-sale-cairo-mokattam-lhdb-l-ly-103-street/,"3,300,000 جنيه",,3,2,160,30.015287,31.313535,7,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6537668-for-sale-cairo-al-oubour-el-hay-el-tany/,"2,750,000 جنيه",,2,1,135,30.252822,31.483823,الارضي,سوبر لوكس
https://aqarmap.com.eg/ar/listing/6612381-for-sale-cairo-new-cairo-compounds-regents-square-compound-al-dawlia/,"11,950,000 جنيه",القاهرة الكبرى / كمبوند ريجينتس سكوير - الدولية,3,3,198,30.034311,31.555234,1,نصف تشطيب
https://aqarmap.com.eg/ar/listing/6620494-for-sale-cairo-new-cairo-madinaty-eighth-zone-buildings-madinaty-b-8/,"14,000,000 جنيه",القاهرة الكبرى / مدينتي - بي 8,3,3,239,30.11037,31.637632,2,اكسترا سوبر لوكس
https://aqarmap.com.eg/ar/listing/6593605-for-sale-cairo-mokattam-lhdb-l-ly-diplomats-neighborhood%20-street-44/,"2,950,000 جنيه",القاهرة الكبرى / شارع 44,2,1,145,30.015287,31.286069,5,اكسترا سوبر لوكس
